"FilePath","Line","Code","Cat","Confirmed"
"lib\pages\friends_circle\publish_moment_page.dart","100","color: Color(0xFFFF5A7E),","C1","False"
"lib\pages\friends_circle\publish_moment_page.dart","117","color: Colors.white,","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","127","hintStyle: TextStyle(color: Colors.grey),","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","138","color: Colors.white,","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","176","backgroundColor: Colors.black54,","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","178","size: 16, color: Colors.white),","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","195","color: Colors.grey.shade100,","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","197","border: Border.all(color: Colors.grey.shade300),","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","200","size: 40, color: Colors.grey),","C2","False"
"lib\pages\friends_circle\publish_moment_page.dart","209","color: Colors.white, borderRadius: BorderRadius.circular(12)),","C2","False"
"lib\pages\me\me_page.dart","85","backgroundColor: Colors.red,","C2","False"
"lib\pages\me\me_page.dart","109","color: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\me_page.dart","119","backgroundColor: Theme.of(context).primaryColor,","C3","False"
"lib\pages\me\me_page.dart","124","? const Icon(Icons.person, size: 36, color: Colors.white)","C2","False"
"lib\pages\me\me_page.dart","131","color: Colors.black54,","C2","False"
"lib\pages\me\me_page.dart","135","child: CircularProgressIndicator(color: Colors.white),","C2","False"
"lib\pages\me\me_page.dart","154","style: TextStyle(color: isDark ? Colors.grey[400] : Colors.grey, fontSize: 14),","C4","False"
"lib\pages\me\me_page.dart","159","Icon(Icons.chevron_right, color: isDark ? Colors.grey[400] : Colors.grey),","C4","False"
"lib\pages\me\me_page.dart","167","_buildListTile(Icons.wechat_outlined, ""记录"", Colors.green, context),","C2","False"
"lib\pages\me\me_page.dart","168","Divider(height: 1, indent: 60, color: isDark ? Colors.grey[800] : Colors.grey[200]),","C4","False"
"lib\pages\me\me_page.dart","169","_buildListTile(Icons.collections_bookmark_outlined, ""收藏·碎碎念"", Colors.orange, context),","C2","False"
"lib\pages\me\me_page.dart","170","Divider(height: 1, indent: 60, color: isDark ? Colors.grey[800] : Colors.grey[200]),","C4","False"
"lib\pages\me\me_page.dart","171","_buildListTile(Icons.photo_outlined, ""书架"", Colors.blue, context),","C2","False"
"lib\pages\me\me_page.dart","172","Divider(height: 1, indent: 60, color: isDark ? Colors.grey[800] : Colors.grey[200]),","C4","False"
"lib\pages\me\me_page.dart","173","_buildListTile(Icons.credit_card_outlined, ""结婚纪念日"", Colors.blueAccent, context),","C2","False"
"lib\pages\me\me_page.dart","174","Divider(height: 1, indent: 60, color: isDark ? Colors.grey[800] : Colors.grey[200]),","C4","False"
"lib\pages\me\me_page.dart","175","_buildListTile(Icons.sentiment_satisfied_alt_outlined, ""心情不好·日记本"", Colors.amber, context),","C2","False"
"lib\pages\me\me_page.dart","181","color: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\me_page.dart","183","leading: Icon(Icons.settings_outlined, color: isDark ? Colors.grey[400] : Colors.blueGrey),","C4","False"
"lib\pages\me\me_page.dart","184","title: Text(""设置"", style: TextStyle(color: isDark ? Colors.white : Colors.black)),","C4","False"
"lib\pages\me\me_page.dart","185","trailing: Icon(Icons.chevron_right, color: isDark ? Colors.grey[400] : Colors.grey, size: 20),","C4","False"
"lib\pages\me\me_page.dart","202","color: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\me_page.dart","205","title: Text(title, style: TextStyle(color: isDark ? Colors.white : Colors.black)),","C4","False"
"lib\pages\me\me_page.dart","206","trailing: Icon(Icons.chevron_right, color: isDark ? Colors.grey[400] : Colors.grey, size: 20),","C4","False"
"lib\pages\me\me_page.dart","244","backgroundColor: Colors.red,","C2","False"
"lib\pages\me\profile_settings_page.dart","120","backgroundColor: isSuccess ? null : Colors.red,","C2","False"
"lib\pages\me\profile_settings_page.dart","287","final testColor = Colors.deepPurple;","C2","False"
"lib\pages\me\profile_settings_page.dart","290","app_theme.ExtractedColorType.vibrant: Color.fromRGBO(","C1","False"
"lib\pages\me\profile_settings_page.dart","296","app_theme.ExtractedColorType.lightVibrant: Color.fromRGBO(","C1","False"
"lib\pages\me\profile_settings_page.dart","302","app_theme.ExtractedColorType.darkVibrant: Color.fromRGBO(","C1","False"
"lib\pages\me\profile_settings_page.dart","329","if (rawColors == null || rawColors.isEmpty) {","C2","False"
"lib\pages\me\profile_settings_page.dart","340","if (convertedColors.isEmpty) {","C2","False"
"lib\pages\me\settings_page.dart","242","color: Theme.of(context).colorScheme.surfaceContainerHighest,","C3","False"
"lib\pages\me\settings_page.dart","264","? Theme.of(context).colorScheme.primary","C3","False"
"lib\pages\me\settings_page.dart","273","color: isSelected ? Colors.white : null),","C2","False"
"lib\pages\me\settings_page.dart","277","color: isSelected ? Colors.white : null)),","C2","False"
"lib\pages\me\settings_page.dart","341","color: isDark ? Colors.white : Colors.black,","C4","False"
"lib\pages\me\settings_page.dart","369","color: isDark ? Colors.grey[700]! : Colors.grey[400]!,","C4","False"
"lib\pages\me\settings_page.dart","374","color: isDark ? Colors.grey[400] : Colors.grey[700],","C4","False"
"lib\pages\me\settings_page.dart","378","isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\settings_page.dart","381","color: isDark ? Colors.grey[700]! : Colors.grey[400]!,","C4","False"
"lib\pages\me\settings_page.dart","391","color: isDark ? Colors.white : Colors.black,","C4","False"
"lib\pages\me\settings_page.dart","440","style: TextStyle(color: isDark ? Colors.white : Colors.black),","C4","False"
"lib\pages\me\settings_page.dart","444","color: isDark ? Colors.grey[400] : Colors.grey[700]),","C4","False"
"lib\pages\me\settings_page.dart","447","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","451","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","454","borderSide: BorderSide(color: const Color(0xFFFF5A7E)),","C1","False"
